id,レビュー,ラベル
1,このポテトチップスは最高！美味しい！,高評価
2,真夏のハニー味、爽やかな甘さが絶妙でした！,高評価
3,思っていたよりも甘すぎるかもしれませんが、美味しかったです。,高評価
4,もう少しハチミツの香りが強い方が良かったです。,高評価
5,まさかポテトチップスがこんなに甘くて美味しいとは驚きました！,高評価
6,普通のポテトチップスとは全然違って新鮮な味わいでした。,高評価
7,期待していた味とは違いましたが、食べやすくて良かったです。,高評価
8,夏にピッタリな味で、リフレッシングでした！,高評価
9,このポテトチップスは家族みんなで楽しめました！,高評価
10,予想以上に美味しかったです！,高評価
11,夏のおやつに最適です！,高評価
12,ポテトチップスにこんなに甘さが合うとは驚きました！,高評価
13,夏に食べるならこれが一番！,高評価
14,甘さ控えめで食べやすかったです。,高評価
15,ハニー味が苦手な方でも食べやすい味でした。,高評価
16,夏のイメージにピッタリの味でした！,高評価
17,これは夏の定番になりそうです！,高評価
18,甘さ控えめで食べやすかったですが、もう少し甘い方が良かったです。,高評価
19,夏に食べるなら絶対これです！,高評価
20,甘さがちょうど良かったです。,高評価
21,ハニー味が好きな人にはおすすめです！,高評価
22,夏にピッタリの味でしたが、もう少し甘い方が良かったです。,高評価
23,このポテトチップスは家族みんなで楽しめました！,高評価
24,予想以上に美味しかったです！,高評価
26,ポテトチップスにこんなに甘さが合うとは驚きました！,高評価
27,夏に食べるならこれが一番！,高評価
28,甘さ控えめで食べやすかったです。,高評価
29,ハニー味が苦手な方でも食べやすい味でした。,高評価
30,夏のイメージにピッタリの味でした！,高評価
31,これは夏の定番になりそうです！,高評価
32,甘さ控えめで食べやすかったですが、もう少し甘い方が良かったです。,高評価
33,夏に食べるなら絶対これです！,高評価
34,甘さがちょうど良かったです。,高評価
35,ハニー味が好きな人にはおすすめです！,高評価
36,夏にピッタリの味でしたが、もう少し甘い方が良かったです。,高評価
37,このポテトチップスは家族みんなで楽しめました！,高評価
39,夏のおやつに最適です！,高評価
40,ポテトチップスにこんなに甘さが合うとは驚きました！,高評価
41,思っていたよりも甘すぎるかもしれませんが、美味しかったです。,高評価
42,ハチミツの風味が少し弱かったですが、全体的には良かったです。,高評価
44,もう少しハチミツの香りが欲しかったです。,低評価
45,ポテトチップスというよりもお菓子のようでしたが、美味しかったです。,高評価
46,期待していたよりも甘さが足りなかったです。,低評価
47,ハチミツの風味がもっと欲しかったです。,低評価
48,夏にぴったりの味でしたが、もう少し甘い方が良かったです。,低評価
49,思っていたよりも甘いかもしれませんが、美味しかったです。,低評価
50,ハチミツの香りがもう少し欲しかったです。,低評価
51,甘さ控えめで食べやすかったですが、ちょっと物足りない感じがしました。,低評価
52,ハチミツの香りが足りなくて、ちょっとがっかりしました。,低評価
53,想像していた味とは違いました。,低評価
54,あまり好きな味ではありませんでした。,低評価
55,ハチミツの香りが全然しませんでした。,低評価
56,甘いのが苦手でした。,低評価
57,これは食べるのが辛かったです。,低評価
58,ハチミツの風味が弱すぎました。,低評価
59,まずかったです。,低評価
60,こんなにまずいとは思いませんでした。,低評価
61,ハチミツの風味が全然感じられませんでした。,低評価
62,味が薄くて物足りないです。,低評価
63,他の味の方が好きです。,低評価
64,こんなに不味いポテトチップスは初めてです。,低評価
65,期待外れでした。,低評価
66,甘いのが苦手でした。,低評価
67,ハチミツの風味が全然しませんでした。,低評価
68,ハチミツの味がまったくしませんでした。,低評価
69,あまり美味しくありませんでした。,低評価
70,味が薄くて物足りないです。,低評価
71,これは食べるのが辛かったです。,低評価
72,ハチミツの風味が弱すぎました。,低評価
73,まずかったです。,低評価
74,こんなにまずいとは思いませんでした。,低評価
75,ハチミツの風味が全然感じられませんでした。,低評価
76,味が薄くて物足りないです。,低評価
77,他の味の方が好きです。,低評価
78,こんなに不味いポテトチップスは初めてです。,低評価
79,期待外れでした。,低評価
80,甘いのが苦手でした。,低評価
81,ハチミツの風味が全然しませんでした。,低評価
82,ハチミツの味がまったくしませんでした。,低評価
83,あまり美味しくありませんでした。,低評価
84,味が薄くて物足りないです。,低評価
85,これは食べるのが辛かったです。,低評価
86,ハチミツの風味が弱すぎました。,低評価
87,まずかったです。,低評価
88,こんなにまずいとは思いませんでした。,低評価
89,ハチミツの風味が全然感じられませんでした。,低評価
90,味が薄くて物足りないです。,低評価
91,他の味の方が好きです。,低評価
92,こんなに不味いポテトチップスは初めてです。,低評価
93,期待外れでした。,低評価
94,甘いのが苦手でした。,低評価
95,ハチミツの風味が全然しませんでした。,低評価
96,ハチミツの味がまったくしませんでした。,低評価
97,あまり美味しくありませんでした。,低評価
98,味が薄くて物足りないです。,低評価
99,これは食べるのが辛かったです。,低評価
100,ハチミツの風味が弱すぎました。,低評価
